start_date,pollster,politician,tot_favorable
2019-06-29,Morning Consult,Andrew Yang,24.0
2019-06-29,Morning Consult,Elizabeth Warren,62.0
2019-06-29,Morning Consult,Donald Trump,41.0
2019-06-28,CNN/SSRS,Joe Biden,47.0
2019-06-29,HarrisX,Tulsi Gabbard,36.0
2019-06-29,HarrisX,John Delaney,30.0
2019-06-29,HarrisX,Amy Klobuchar,44.0
2019-06-28,CNN/SSRS,Pete Buttigieg,28.0
2019-06-28,CNN/SSRS,Elizabeth Warren,38.0
2019-06-28,CNN/SSRS,Donald Trump,43.0
2019-06-28,CNN/SSRS,Bernie Sanders,44.0
2019-06-29,HarrisX,Elizabeth Warren,72.0
2019-06-26,Harris Poll,Joe Biden,100.0
2019-06-26,Harris Poll,Bernie Sanders,90.0
2019-06-28,HarrisX,Joe Biden,96.0
2019-06-28,HarrisX,Bernie Sanders,88.0
2019-06-26,Harris Poll,Pete Buttigieg,52.0
2019-06-28,HarrisX,Michael Bennet,32.0
2019-06-28,HarrisX,Andrew Yang,32.0
2019-06-28,HarrisX,Pete Buttigieg,56.0
2019-06-26,Harris Poll,Donald Trump,82.0
2019-06-26,Harris Poll,Elizabeth Warren,72.0
2019-06-27,HarrisX,Elizabeth Warren,84.0
2019-06-27,HarrisX,Tulsi Gabbard,44.0
2019-06-27,HarrisX,John Delaney,38.0
2019-06-27,HarrisX,Amy Klobuchar,46.0
2019-06-26,HarrisX,Joe Biden,98.0
2019-06-26,HarrisX,Bernie Sanders,86.0
2019-06-26,HarrisX,Pete Buttigieg,56.0
2019-06-26,HarrisX,Michael Bennet,30.0
2019-06-26,HarrisX,Andrew Yang,36.0
2019-06-25,HarrisX,Elizabeth Warren,72.0
2019-06-25,HarrisX,Tulsi Gabbard,34.0
2019-06-25,HarrisX,John Delaney,32.0
2019-06-25,HarrisX,Amy Klobuchar,44.0
2019-06-22,YouGov,Elizabeth Warren,90.0
2019-06-22,YouGov,Bernie Sanders,90.0
2019-06-22,YouGov,Donald Trump,92.0
2019-06-22,YouGov,Joe Biden,94.0
2019-06-22,YouGov,Michael Bennet,38.0
2019-06-22,YouGov,Pete Buttigieg,74.0
2019-06-22,YouGov,John Delaney,34.0
2019-06-22,YouGov,Tulsi Gabbard,42.0
2019-06-22,YouGov,Amy Klobuchar,58.0
2019-06-22,YouGov,Andrew Yang,48.0
2019-06-21,Morning Consult,Donald Trump,42.0
2019-06-20,Morning Consult,Joe Biden,98.0
